RefOGs	num_species	num_genes	num_genes_per_species	avg_tree_length	min_length	max_length	mean_length	median_length	invariable_sites_proportion	gamma_shape	total_tree_length	Orthogroups
RefOG024	12	51	4.25	0.2003	201	1013	474	466	0.0115	1.4563	20.0329	Monodelphis_domestica.ENSMODP00000001804, Danio_rerio.ENSDARP00000134903, Danio_rerio.ENSDARP00000005298, Homo_sapiens.ENSP00000358755, Mus_musculus.ENSMUSP00000142477, Danio_rerio.ENSDARP00000095389, Drosophila_melanogaster.FBpp0072985, Rattus_norvegicus.ENSRNOP00000070204, Mus_musculus.ENSMUSP00000123979, Mus_musculus.ENSMUSP00000029510, Tetraodon_nigroviridis.ENSTNIP00000000910, Homo_sapiens.ENSP00000356198, Canis_familiaris.ENSCAFP00000058655, Gallus_gallus.ENSGALP00000066799, Pan_troglodytes.ENSPTRP00000003133, Monodelphis_domestica.ENSMODP00000047764, Monodelphis_domestica.ENSMODP00000001616, Tetraodon_nigroviridis.ENSTNIP00000001773, Pan_troglodytes.ENSPTRP00000081197, Monodelphis_domestica.ENSMODP00000040149, Danio_rerio.ENSDARP00000148464, Danio_rerio.ENSDARP00000135566, Danio_rerio.ENSDARP00000102083, Rattus_norvegicus.ENSRNOP00000074871, Tetraodon_nigroviridis.ENSTNIP00000003161, Mus_musculus.ENSMUSP00000078134, Mus_musculus.ENSMUSP00000053923, Rattus_norvegicus.ENSRNOP00000052819, Mus_musculus.ENSMUSP00000000573, Caenorhabditis_elegans.WBGene00000503.1, Monodelphis_domestica.ENSMODP00000001267, Homo_sapiens.ENSP00000358747, Pan_troglodytes.ENSPTRP00000088271, Pan_troglodytes.ENSPTRP00000063859, Homo_sapiens.ENSP00000437082, Canis_familiaris.ENSCAFP00000032028, Ciona_intestinalis.ENSCINP00000028628, Monodelphis_domestica.ENSMODP00000043631, Rattus_norvegicus.ENSRNOP00000052813, Monodelphis_domestica.ENSMODP00000001739, Canis_familiaris.ENSCAFP00000020233, Rattus_norvegicus.ENSRNOP00000073705, Monodelphis_domestica.ENSMODP00000035744, Pan_troglodytes.ENSPTRP00000001896, Pan_troglodytes.ENSPTRP00000041993, Danio_rerio.ENSDARP00000138333, Gallus_gallus.ENSGALP00000058001, Mus_musculus.ENSMUSP00000080717, Mus_musculus.ENSMUSP00000080851, Homo_sapiens.ENSP00000255409, Gallus_gallus.ENSGALP00000069949
RefOG006	12	48	4.0	0.0808	120	2311	1869	1979	0.0715	1.0754	7.5976	Danio_rerio.ENSDARP00000086805, Homo_sapiens.ENSP00000216181, Tetraodon_nigroviridis.ENSTNIP00000004844, Tetraodon_nigroviridis.ENSTNIP00000010900, Monodelphis_domestica.ENSMODP00000001289, Rattus_norvegicus.ENSRNOP00000072636, Rattus_norvegicus.ENSRNOP00000062744, Tetraodon_nigroviridis.ENSTNIP00000023109, Danio_rerio.ENSDARP00000134054, Homo_sapiens.ENSP00000478109, Canis_familiaris.ENSCAFP00000061753, Caenorhabditis_elegans.WBGene00003776.1, Gallus_gallus.ENSGALP00000043966, Danio_rerio.ENSDARP00000124366, Homo_sapiens.ENSP00000493594, Rattus_norvegicus.ENSRNOP00000035440, Canis_familiaris.ENSCAFP00000046753, Rattus_norvegicus.ENSRNOP00000073929, Tetraodon_nigroviridis.ENSTNIP00000017126, Canis_familiaris.ENSCAFP00000057173, Mus_musculus.ENSMUSP00000016771, Mus_musculus.ENSMUSP00000147115, Homo_sapiens.ENSP00000379616, Canis_familiaris.ENSCAFP00000060526, Danio_rerio.ENSDARP00000125918, Danio_rerio.ENSDARP00000155954, Mus_musculus.ENSMUSP00000090661, Mus_musculus.ENSMUSP00000156021, Caenorhabditis_elegans.WBGene00003777.1, Homo_sapiens.ENSP00000353590, Tetraodon_nigroviridis.ENSTNIP00000001018, Gallus_gallus.ENSGALP00000053892, Gallus_gallus.ENSGALP00000046782, Danio_rerio.ENSDARP00000114445, Ciona_intestinalis.ENSCINP00000035221, Danio_rerio.ENSDARP00000041141, Pan_troglodytes.ENSPTRP00000078901, Monodelphis_domestica.ENSMODP00000010173, Pan_troglodytes.ENSPTRP00000069176, Tetraodon_nigroviridis.ENSTNIP00000006335, Tetraodon_nigroviridis.ENSTNIP00000015027, Pan_troglodytes.ENSPTRP00000065124, Rattus_norvegicus.ENSRNOP00000007398, Pan_troglodytes.ENSPTRP00000064140, Tetraodon_nigroviridis.ENSTNIP00000007040, Monodelphis_domestica.ENSMODP00000051065, Drosophila_melanogaster.FBpp0072306, Tetraodon_nigroviridis.ENSTNIP00000006941
RefOG036	12	46	3.8333	0.0808	87	456	399	411	0.0633	0.8733	7.2695	Mus_musculus.ENSMUSP00000041447, Rattus_norvegicus.ENSRNOP00000012759, Monodelphis_domestica.ENSMODP00000058442, Rattus_norvegicus.ENSRNOP00000002072, Gallus_gallus.ENSGALP00000015774, Danio_rerio.ENSDARP00000153715, Tetraodon_nigroviridis.ENSTNIP00000020062, Pan_troglodytes.ENSPTRP00000065011, Canis_familiaris.ENSCAFP00000019855, Homo_sapiens.ENSP00000498864, Danio_rerio.ENSDARP00000042188, Canis_familiaris.ENSCAFP00000003118, Homo_sapiens.ENSP00000005178, Mus_musculus.ENSMUSP00000006669, Tetraodon_nigroviridis.ENSTNIP00000010986, Pan_troglodytes.ENSPTRP00000033224, Monodelphis_domestica.ENSMODP00000039449, Homo_sapiens.ENSP00000420927, Tetraodon_nigroviridis.ENSTNIP00000020088, Tetraodon_nigroviridis.ENSTNIP00000006761, Ciona_intestinalis.ENSCINP00000003914, Tetraodon_nigroviridis.ENSTNIP00000004633, Rattus_norvegicus.ENSRNOP00000005641, Danio_rerio.ENSDARP00000071589, Gallus_gallus.ENSGALP00000026284, Monodelphis_domestica.ENSMODP00000009219, Pan_troglodytes.ENSPTRP00000015943, Gallus_gallus.ENSGALP00000060241, Caenorhabditis_elegans.WBGene00022719.1, Mus_musculus.ENSMUSP00000019721, Canis_familiaris.ENSCAFP00000041833, Danio_rerio.ENSDARP00000150746, Danio_rerio.ENSDARP00000022009, Danio_rerio.ENSDARP00000138167, Monodelphis_domestica.ENSMODP00000015067, Monodelphis_domestica.ENSMODP00000011372, Monodelphis_domestica.ENSMODP00000011266, Mus_musculus.ENSMUSP00000036604, Danio_rerio.ENSDARP00000012861, Gallus_gallus.ENSGALP00000021580, Pan_troglodytes.ENSPTRP00000037297, Drosophila_melanogaster.FBpp0111805, Homo_sapiens.ENSP00000376352, Rattus_norvegicus.ENSRNOP00000068033, Canis_familiaris.ENSCAFP00000019265, Canis_familiaris.ENSCAFP00000024969
RefOG012	12	46	3.8333	0.198	1310	2034	1751	1721	0.0197	1.0878	17.8239	Rattus_norvegicus.ENSRNOP00000017892, Caenorhabditis_elegans.WBGene00001796.1, Gallus_gallus.ENSGALP00000049900, Caenorhabditis_elegans.WBGene00001651.1, Tetraodon_nigroviridis.ENSTNIP00000002557, Gallus_gallus.ENSGALP00000037979, Pan_troglodytes.ENSPTRP00000088270, Monodelphis_domestica.ENSMODP00000060432, Mus_musculus.ENSMUSP00000099513, Tetraodon_nigroviridis.ENSTNIP00000000145, Monodelphis_domestica.ENSMODP00000056536, Pan_troglodytes.ENSPTRP00000065010, Canis_familiaris.ENSCAFP00000002558, Danio_rerio.ENSDARP00000151529, Danio_rerio.ENSDARP00000133282, Canis_familiaris.ENSCAFP00000022528, Homo_sapiens.ENSP00000437849, Gallus_gallus.ENSGALP00000006104, Monodelphis_domestica.ENSMODP00000046838, Danio_rerio.ENSDARP00000145809, Rattus_norvegicus.ENSRNOP00000021262, Monodelphis_domestica.ENSMODP00000002675, Tetraodon_nigroviridis.ENSTNIP00000013119, Tetraodon_nigroviridis.ENSTNIP00000006495, Gallus_gallus.ENSGALP00000024411, Danio_rerio.ENSDARP00000132448, Mus_musculus.ENSMUSP00000146226, Danio_rerio.ENSDARP00000052583, Pan_troglodytes.ENSPTRP00000090282, Danio_rerio.ENSDARP00000157514, Mus_musculus.ENSMUSP00000158045, Canis_familiaris.ENSCAFP00000057849, Rattus_norvegicus.ENSRNOP00000018521, Drosophila_melanogaster.FBpp0308223, Caenorhabditis_elegans.WBGene00001795.1, Mus_musculus.ENSMUSP00000037443, Canis_familiaris.ENSCAFP00000035825, Tetraodon_nigroviridis.ENSTNIP00000011233, Homo_sapiens.ENSP00000354006, Rattus_norvegicus.ENSRNOP00000070727, Ciona_intestinalis.ENSCINP00000035323, Pan_troglodytes.ENSPTRP00000012085, Danio_rerio.ENSDARP00000123466, Homo_sapiens.ENSP00000480586, Homo_sapiens.ENSP00000495860, Homo_sapiens.ENSP00000350140
RefOG054	12	44	3.6667	0.3005	79	751	523	530	0.0070	1.7476	25.8472	Mus_musculus.ENSMUSP00000022725, Caenorhabditis_elegans.WBGene00016419.1, Drosophila_melanogaster.FBpp0291497, Ciona_intestinalis.ENSCINP00000018374, Ciona_intestinalis.ENSCINP00000025546, Pan_troglodytes.ENSPTRP00000080305, Homo_sapiens.ENSP00000373570, Ciona_intestinalis.ENSCINP00000010295, Gallus_gallus.ENSGALP00000037537, Homo_sapiens.ENSP00000392762, Tetraodon_nigroviridis.ENSTNIP00000008359, Danio_rerio.ENSDARP00000073055, Ciona_intestinalis.ENSCINP00000008838, Drosophila_melanogaster.FBpp0291496, Danio_rerio.ENSDARP00000050527, Ciona_intestinalis.ENSCINP00000010070, Caenorhabditis_elegans.WBGene00010661.1, Homo_sapiens.ENSP00000263321, Gallus_gallus.ENSGALP00000035733, Tetraodon_nigroviridis.ENSTNIP00000014259, Pan_troglodytes.ENSPTRP00000007149, Monodelphis_domestica.ENSMODP00000011738, Caenorhabditis_elegans.WBGene00021553.1, Tetraodon_nigroviridis.ENSTNIP00000012844, Mus_musculus.ENSMUSP00000004770, Monodelphis_domestica.ENSMODP00000003356, Tetraodon_nigroviridis.ENSTNIP00000001461, Rattus_norvegicus.ENSRNOP00000021971, Canis_familiaris.ENSCAFP00000006504, Ciona_intestinalis.ENSCINP00000019001, Ciona_intestinalis.ENSCINP00000035497, Canis_familiaris.ENSCAFP00000007942, Ciona_intestinalis.ENSCINP00000025552, Ciona_intestinalis.ENSCINP00000002932, Caenorhabditis_elegans.WBGene00015332.1, Pan_troglodytes.ENSPTRP00000071832, Danio_rerio.ENSDARP00000110477, Caenorhabditis_elegans.WBGene00022231.1, Gallus_gallus.ENSGALP00000027812, Mus_musculus.ENSMUSP00000099895, Danio_rerio.ENSDARP00000111575, Monodelphis_domestica.ENSMODP00000018820, Caenorhabditis_elegans.WBGene00009001.1, Rattus_norvegicus.ENSRNOP00000041764
RefOG047	12	36	3.0	0.1984	190	428	388	395	0.0000	0.6560	13.8885	Caenorhabditis_elegans.WBGene00006416.1, Danio_rerio.ENSDARP00000147224, Danio_rerio.ENSDARP00000057868, Danio_rerio.ENSDARP00000053962, Pan_troglodytes.ENSPTRP00000004677, Tetraodon_nigroviridis.ENSTNIP00000011970, Danio_rerio.ENSDARP00000139220, Pan_troglodytes.ENSPTRP00000020815, Gallus_gallus.ENSGALP00000069156, Tetraodon_nigroviridis.ENSTNIP00000018925, Tetraodon_nigroviridis.ENSTNIP00000016496, Homo_sapiens.ENSP00000303147, Caenorhabditis_elegans.WBGene00015538.1, Danio_rerio.ENSDARP00000105782, Canis_familiaris.ENSCAFP00000062817, Tetraodon_nigroviridis.ENSTNIP00000014805, Gallus_gallus.ENSGALP00000024750, Drosophila_melanogaster.FBpp0088926, Rattus_norvegicus.ENSRNOP00000018170, Gallus_gallus.ENSGALP00000071065, Monodelphis_domestica.ENSMODP00000019473, Rattus_norvegicus.ENSRNOP00000072105, Canis_familiaris.ENSCAFP00000011509, Tetraodon_nigroviridis.ENSTNIP00000011512, Gallus_gallus.ENSGALP00000073898, Mus_musculus.ENSMUSP00000087118, Gallus_gallus.ENSGALP00000003899, Homo_sapiens.ENSP00000361287, Ciona_intestinalis.ENSCINP00000016717, Danio_rerio.ENSDARP00000152910, Mus_musculus.ENSMUSP00000153488, Mus_musculus.ENSMUSP00000142136, Caenorhabditis_elegans.WBGene00015540.1, Monodelphis_domestica.ENSMODP00000001856, Caenorhabditis_elegans.WBGene00008205.1, Danio_rerio.ENSDARP00000087660
RefOG005	12	34	2.8333	0.1659	994	1908	1737	1826	0.0717	1.2326	10.9525	Pan_troglodytes.ENSPTRP00000012111, Homo_sapiens.ENSP00000261839, Rattus_norvegicus.ENSRNOP00000073223, Tetraodon_nigroviridis.ENSTNIP00000013541, Ciona_intestinalis.ENSCINP00000004338, Homo_sapiens.ENSP00000382177, Tetraodon_nigroviridis.ENSTNIP00000013132, Tetraodon_nigroviridis.ENSTNIP00000016708, Monodelphis_domestica.ENSMODP00000004596, Canis_familiaris.ENSCAFP00000047066, Rattus_norvegicus.ENSRNOP00000072468, Gallus_gallus.ENSGALP00000053885, Gallus_gallus.ENSGALP00000021156, Tetraodon_nigroviridis.ENSTNIP00000000264, Rattus_norvegicus.ENSRNOP00000011768, Danio_rerio.ENSDARP00000114041, Danio_rerio.ENSDARP00000123905, Danio_rerio.ENSDARP00000156302, Homo_sapiens.ENSP00000285039, Danio_rerio.ENSDARP00000083467, Danio_rerio.ENSDARP00000138582, Canis_familiaris.ENSCAFP00000050462, Caenorhabditis_elegans.WBGene00002036.1, Pan_troglodytes.ENSPTRP00000017028, Mus_musculus.ENSMUSP00000117493, Drosophila_melanogaster.FBpp0088684, Monodelphis_domestica.ENSMODP00000033779, Tetraodon_nigroviridis.ENSTNIP00000003753, Gallus_gallus.ENSGALP00000049670, Danio_rerio.ENSDARP00000139984, Mus_musculus.ENSMUSP00000112728, Mus_musculus.ENSMUSP00000042229, Pan_troglodytes.ENSPTRP00000079651, Monodelphis_domestica.ENSMODP00000002338
RefOG031	12	32	2.6667	0.2422	208	932	709	702	0.0255	0.9471	15.0150	Gallus_gallus.ENSGALP00000014797, Homo_sapiens.ENSP00000473498, Homo_sapiens.ENSP00000441235, Rattus_norvegicus.ENSRNOP00000022802, Monodelphis_domestica.ENSMODP00000050592, Monodelphis_domestica.ENSMODP00000001525, Danio_rerio.ENSDARP00000054085, Mus_musculus.ENSMUSP00000040477, Danio_rerio.ENSDARP00000096529, Tetraodon_nigroviridis.ENSTNIP00000006194, Ciona_intestinalis.ENSCINP00000030027, Tetraodon_nigroviridis.ENSTNIP00000019702, Rattus_norvegicus.ENSRNOP00000022481, Monodelphis_domestica.ENSMODP00000001486, Danio_rerio.ENSDARP00000088230, Drosophila_melanogaster.FBpp0082934, Danio_rerio.ENSDARP00000152025, Canis_familiaris.ENSCAFP00000025490, Rattus_norvegicus.ENSRNOP00000005671, Gallus_gallus.ENSGALP00000014790, Mus_musculus.ENSMUSP00000021346, Canis_familiaris.ENSCAFP00000003939, Pan_troglodytes.ENSPTRP00000091100, Homo_sapiens.ENSP00000294954, Canis_familiaris.ENSCAFP00000057668, Tetraodon_nigroviridis.ENSTNIP00000012582, Mus_musculus.ENSMUSP00000024916, Pan_troglodytes.ENSPTRP00000020451, Pan_troglodytes.ENSPTRP00000020457, Caenorhabditis_elegans.WBGene00008239.1, Homo_sapiens.ENSP00000384708, Gallus_gallus.ENSGALP00000017185
RefOG020	12	28	2.3333	0.2372	170	1847	1571	1690	0.2334	1.3511	12.8093	Mus_musculus.ENSMUSP00000084282, Pan_troglodytes.ENSPTRP00000058373, Mus_musculus.ENSMUSP00000098765, Tetraodon_nigroviridis.ENSTNIP00000002564, Danio_rerio.ENSDARP00000105937, Gallus_gallus.ENSGALP00000065392, Rattus_norvegicus.ENSRNOP00000054270, Pan_troglodytes.ENSPTRP00000048691, Canis_familiaris.ENSCAFP00000015315, Danio_rerio.ENSDARP00000135982, Mus_musculus.ENSMUSP00000155180, Drosophila_melanogaster.FBpp0078640, Rattus_norvegicus.ENSRNOP00000073623, Canis_familiaris.ENSCAFP00000009112, Tetraodon_nigroviridis.ENSTNIP00000008199, Caenorhabditis_elegans.WBGene00002280.1, Rattus_norvegicus.ENSRNOP00000074055, Homo_sapiens.ENSP00000379866, Homo_sapiens.ENSP00000353654, Gallus_gallus.ENSGALP00000072403, Canis_familiaris.ENSCAFP00000037428, Monodelphis_domestica.ENSMODP00000054906, Mus_musculus.ENSMUSP00000033899, Ciona_intestinalis.ENSCINP00000016017, Pan_troglodytes.ENSPTRP00000070019, Danio_rerio.ENSDARP00000129072, Homo_sapiens.ENSP00000378340, Gallus_gallus.ENSGALP00000007904
RefOG009	12	23	1.9167	0.2338	598	3375	2691	3075	0.0362	1.4404	10.2879	Rattus_norvegicus.ENSRNOP00000070049, Danio_rerio.ENSDARP00000135371, Homo_sapiens.ENSP00000400365, Monodelphis_domestica.ENSMODP00000040336, Danio_rerio.ENSDARP00000145314, Gallus_gallus.ENSGALP00000036103, Canis_familiaris.ENSCAFP00000031428, Pan_troglodytes.ENSPTRP00000085556, Rattus_norvegicus.ENSRNOP00000023224, Pan_troglodytes.ENSPTRP00000031732, Gallus_gallus.ENSGALP00000064934, Homo_sapiens.ENSP00000374309, Gallus_gallus.ENSGALP00000066070, Mus_musculus.ENSMUSP00000043957, Danio_rerio.ENSDARP00000131993, Drosophila_melanogaster.FBpp0291871, Caenorhabditis_elegans.WBGene00002248.1, Ciona_intestinalis.ENSCINP00000016161, Tetraodon_nigroviridis.ENSTNIP00000016514, Mus_musculus.ENSMUSP00000090304, Monodelphis_domestica.ENSMODP00000042084, Canis_familiaris.ENSCAFP00000027440, Tetraodon_nigroviridis.ENSTNIP00000019514
