RefOGs	num_species	num_genes	min_length	max_length	mean_length	median_length	Orthogroups
RefOG056	2	2	127	1246	686	686	Tetraodon_nigroviridis.ENSTNIP00000017372, Drosophila_melanogaster.FBpp0073951
RefOG026	2	3	729	1157	979	1052	Drosophila_melanogaster.FBpp0082970, Caenorhabditis_elegans.WBGene00001184.1, Drosophila_melanogaster.FBpp0075520
RefOG064	1	1	444	444	444	444	Caenorhabditis_elegans.WBGene00010139.1
RefOG017	1	1	184	184	184	184	Gallus_gallus.ENSGALP00000071704
RefOG028	2	2	690	722	706	706	Tetraodon_nigroviridis.ENSTNIP00000006920, Caenorhabditis_elegans.WBGene00002783.1
RefOG068	4	5	298	3417	1794	2159	Ciona_intestinalis.ENSCINP00000027090, Ciona_intestinalis.ENSCINP00000001707, Drosophila_melanogaster.FBpp0309618, Caenorhabditis_elegans.WBGene00015237.1, Danio_rerio.ENSDARP00000131597
RefOG015	2	7	1470	1651	1594	1603	Caenorhabditis_elegans.WBGene00006930.1, Caenorhabditis_elegans.WBGene00006929.1, Caenorhabditis_elegans.WBGene00006928.1, Caenorhabditis_elegans.WBGene00006927.1, Caenorhabditis_elegans.WBGene00006926.1, Drosophila_melanogaster.FBpp0082643, Caenorhabditis_elegans.WBGene00006925.1
RefOG021	8	13	1462	5151	3016	2623	Pan_troglodytes.ENSPTRP00000063028, Pan_troglodytes.ENSPTRP00000092368, Drosophila_melanogaster.FBpp0309265, Tetraodon_nigroviridis.ENSTNIP00000015596, Mus_musculus.ENSMUSP00000128464, Canis_familiaris.ENSCAFP00000024044, Homo_sapiens.ENSP00000385727, Ciona_intestinalis.ENSCINP00000024896, Homo_sapiens.ENSP00000489444, Drosophila_melanogaster.FBpp0073337, Monodelphis_domestica.ENSMODP00000026121, Homo_sapiens.ENSP00000371923, Homo_sapiens.ENSP00000385450
RefOG065	1	1	2243	2243	2243	2243	Drosophila_melanogaster.FBpp0081863
RefOG022	9	12	361	488	415	413	Rattus_norvegicus.ENSRNOP00000067336, Pan_troglodytes.ENSPTRP00000086593, Danio_rerio.ENSDARP00000076594, Rattus_norvegicus.ENSRNOP00000038111, Monodelphis_domestica.ENSMODP00000012647, Tetraodon_nigroviridis.ENSTNIP00000010123, Danio_rerio.ENSDARP00000156542, Danio_rerio.ENSDARP00000002330, Canis_familiaris.ENSCAFP00000022898, Caenorhabditis_elegans.WBGene00001249.1, Mus_musculus.ENSMUSP00000033502, Homo_sapiens.ENSP00000365858
RefOG014	10	37	242	5646	1299	865	Homo_sapiens.ENSP00000481542, Monodelphis_domestica.ENSMODP00000013388, Homo_sapiens.ENSP00000480818, Homo_sapiens.ENSP00000478752, Homo_sapiens.ENSP00000478609, Pan_troglodytes.ENSPTRP00000001775, Drosophila_melanogaster.FBpp0305612, Homo_sapiens.ENSP00000479545, Gallus_gallus.ENSGALP00000057811, Pan_troglodytes.ENSPTRP00000092968, Homo_sapiens.ENSP00000477509, Pan_troglodytes.ENSPTRP00000058531, Homo_sapiens.ENSP00000359057, Homo_sapiens.ENSP00000479693, Homo_sapiens.ENSP00000358380, Gallus_gallus.ENSGALP00000070764, Homo_sapiens.ENSP00000463957, Canis_familiaris.ENSCAFP00000020658, Canis_familiaris.ENSCAFP00000016667, Homo_sapiens.ENSP00000477979, Drosophila_melanogaster.FBpp0305280, Pan_troglodytes.ENSPTRP00000056359, Drosophila_melanogaster.FBpp0304823, Rattus_norvegicus.ENSRNOP00000072307, Homo_sapiens.ENSP00000474456, Pan_troglodytes.ENSPTRP00000075718, Homo_sapiens.ENSP00000354024, Homo_sapiens.ENSP00000498781, Homo_sapiens.ENSP00000481835, Canis_familiaris.ENSCAFP00000026919, Ciona_intestinalis.ENSCINP00000005325, Danio_rerio.ENSDARP00000128466, Gallus_gallus.ENSGALP00000027387, Pan_troglodytes.ENSPTRP00000040053, Mus_musculus.ENSMUSP00000111527, Homo_sapiens.ENSP00000316782, Pan_troglodytes.ENSPTRP00000039280
